谈***拉,2017-07-15 18:08:14,【超柔版】男藏青,XXXXXL,好  质量扛扛的  一直好质量
邂***2,2017-07-15 18:04:01,【尊享版】男深灰,XL,不错
1***o,2017-07-15 16:28:00,【尊享版】男藏青,XXL,质量很好
1***o,2017-07-15 16:27:41,【尊享版】女红色,XXXL,南极人的质地就是好
t***2,2017-07-15 13:01:43,【超柔版】男深灰,XXXXL,差。 裤子的裆太低。  建议大家别买。     后悔了别怪没有人提醒你们
赵***4,2017-07-15 10:48:14,[黄金甲]女魅力黑,M,衣服不错，保暖。性价比高
马***9,2017-07-15 10:10:01,【超柔版】男深灰,XXXXL,质量好 非常满意 快递也给力 邮到澳大利亚 10天就收到了
l***0,2017-07-15 09:41:09,[黄金甲]男浅灰,XL,好，快，省
l***0,2017-07-15 09:24:36,[黄金甲]男深灰,XL,好，速度快。
1***吗,2017-07-14 19:39:20,【超柔版】女紫色,XL,衣服不错呢，物流也很快，很赞
1***吗,2017-07-14 19:38:56,【超柔版】男藏青,XXL,衣服挺好的，质量不错哟，物流也很快，
8***z,2017-07-14 13:25:11,[黄金甲]男深灰,XXXL,物有所值。很柔软很舒服。
黎***宾,2017-07-13 22:54:39,【尊享版】男藏青,L,还不错，就是小了一点
z***i,2017-07-13 22:16:52,【尊享版】女紫色,L,买来送姐姐的，质量没的说，物美价廉，满意
z***i,2017-07-13 22:12:42,【超柔版】男藏青,XXL,衣服很好，物美价廉，一次买了四套，以后还会光顾
z***i,2017-07-13 22:06:42,【超柔版】男深灰,XXL,衣服尺码合适，很厚实、满意
z***i,2017-07-13 22:00:03,【超柔版】女紫色,XXXL,衣服质量不错，妈妈很喜欢。
刘***2,2017-07-13 20:39:42,[黄金甲]女中国红,XL,东西很好，是买给妈妈的，挺合身，夏天买比较便宜
j***0,2017-07-13 16:02:29,【超柔版】男咖啡,XL,超喜欢 大爱！！！还会再来
j***0,2017-07-13 16:02:12,【超柔版】男紫色,XL,超喜欢 大爱！！！还会再来
b***6,2017-07-13 14:48:15,[黄金甲]男藏青,L,好评
b***6,2017-07-13 14:47:31,[黄金甲]男深灰,L,好评 快递非常快 包装精致
c***5,2017-07-13 14:06:06,【尊享版】男藏青,L,衣服还可以，这里一直下雨，比较冷，给爸爸买的。
秋***a,2017-07-13 13:32:48,【超柔版】男紫色,XXXL,宝贝收到了，快递挺快的，衣服试了一下，挺合身，就是用水洗了一下，有褪色现象！习惯了好评！
臭***6,2017-07-13 12:27:05,【超柔版】男浅灰,XXXXL,去年就买过他家的保暖衣，质量真心不错，今年有活动价格更优惠，五星好评。
周***赢,2017-07-13 11:16:56,【超柔版】男浅灰,L,不错，刚刚好
l***0,2017-07-13 09:16:14,[黄金甲]男深灰,XXL,质量一点都不好，太薄了
一***1,2017-07-13 08:27:29,[黄金甲]男藏青,XXL,反正夏天看着很热，就没试。南极人，不会错，一直内衣都买南极人。真材实料，穿着舒服，还物美价廉。
m***5,2017-07-12 22:48:15,【尊享版】男深灰,XXXL,手感很柔软，做工不错，店家服务好。
h***g,2017-07-12 19:38:09,[黄金甲]男浅灰,XL,<b></b>衣<b></b>服<b></b>不<b></b>错<b></b>错<b></b>。<b></b>好<b></b>！<b></b>五<b></b>星<b></b>
a***4,2017-07-12 14:18:32,【超柔版】男酒红,XXL,好样的，厚实我很喜欢
a***4,2017-07-12 14:17:56,【超柔版】男咖啡,XXL,暖暖暖，哈哈哈
a***4,2017-07-12 14:17:44,【超柔版】男紫色,XXL,暖，非常好！
兰***1,2017-07-12 11:45:24,【超柔版】男藏青,XXL,摸着挺舒服的～
轻***k,2017-07-11 20:34:12,【超柔版】女红色,XL,衣服已经收到，很不错，家人满意，质量好
轻***k,2017-07-11 20:32:52,【超柔版】女紫色,XL,东西不错，颜色好，质量好，穿着合身
黄***韦,2017-07-11 19:18:20,【尊享版】女紫色,XXL,非常滿意，價廉物美！
t***7,2017-07-11 11:05:51,【超柔版】男深灰,XL,蛮好的?
魔***少,2017-07-11 10:35:07,[黄金甲]男藏青,L,宝贝挺保暖的，很厚
z***7,2017-07-11 04:50:11,【超柔版】男藏青,L,很好，一次满意的购物，颜色正，质地好！以后还会再来
z***7,2017-07-11 04:47:47,【超柔版】男深灰,XL,柔软版的很不错，很厚实，这个价钱买到值了。送亲戚的，很有面子
z***7,2017-07-11 04:43:47,【尊享版】女红色,L,红颜色很正，质量也不错，很满意的一次购物
z***7,2017-07-11 04:41:00,【尊享版】女紫色,XL,物美价廉，比外面便宜很多，满意！
z***7,2017-07-11 04:39:25,【尊享版】女紫色,XL,送亲戚的，一次买了7套，很满意！要有手提袋就更好了
z***7,2017-07-11 04:36:27,【尊享版】女紫色,XL,很不错，物美价廉，值得购买
z***7,2017-07-11 04:34:28,【尊享版】女红色,XXL,质量不错，颜色正，满意！
把***醉,2017-07-10 21:42:16,【超柔版】男深灰,XXXXXL,质量非常好，尺寸非常合适，价格也不贵，非常满意
l***7,2017-07-10 18:08:50,【超柔版】男深灰,XXXXL,服务好发货及时。东西不错，正品。好评！
